Date,High,Low,Open,Close,Volume,Adj Close
20-04-2021,210.0099945,207.4199982,209,209.8500061,294400,208.4519653
21-04-2021,215.2100067,209.1600037,209.3300018,214.75,239300,213.3193054
22-04-2021,214.3699951,212.1640015,214.3300018,213.0800018,240700,211.6604309
23-04-2021,215.9799957,213.6699982,214.1399994,215.8999939,233300,214.4616394
26-04-2021,218.2250061,216.0299988,216.9499969,218.0500031,265900,216.5973206
27-04-2021,219.6900024,217.9700012,218.5099945,218.9499969,177600,217.4913177
28-04-2021,218.9400024,217.0099945,217.5500031,217.5800018,144100,216.1304626
29-04-2021,217.2700043,214.7200012,216.9299927,216.4499969,260200,215.0079803
30-04-2021,215.8200073,213.0099945,215.3899994,213.3899994,131200,211.9683685
03-05-2021,220.9600067,217.9799957,219.3699951,217.9799957,462200,216.5277863
04-05-2021,209.4499969,200.8500061,208.8000031,202.9799957,1148300,201.6277161
05-05-2021,205.8500061,201.6100006,205.7299957,203.25,497100,201.8959198
06-05-2021,202.1499939,198.9499969,201.25,200.1100006,540700,198.7768402
07-05-2021,201.6600037,197.9900055,198.8999939,200.5,389400,199.1642456
10-05-2021,201.3999939,198.8099976,199.4400024,199.5599976,189700,198.2304993
11-05-2021,198.8300018,195.7899933,196.75,197.8800049,195200,196.5617065
12-05-2021,199.5599976,195.4600067,198.0399933,195.5700073,213900,194.2670898
13-05-2021,198.5079956,195.3399963,197.8300018,197.2400055,152700,195.9259644
14-05-2021,199.5299988,197.9199982,198.7400055,198.6499939,133200,197.3265686
17-05-2021,201.7200012,199.25,199.5800018,201.6499939,131700,200.3065796
18-05-2021,204.7899933,202.6999969,202.9400024,203.5800018,240100,202.2237244
19-05-2021,203.0200043,200.5399933,200.6900024,202.75,167400,201.3992462
20-05-2021,208.3899994,205.6999969,206,208.1000061,184500,206.713623
21-05-2021,211.8099976,210.2700043,211.0700073,211.2299957,230800,209.8227539
24-05-2021,212.9400024,211.3899994,211.5,212.2200012,205600,210.8061676
25-05-2021,213.8200073,211.9199982,212.25,213.0099945,206100,211.5908966
26-05-2021,213.3899994,211.6199951,212.3699951,212.5200043,337500,211.1041718
27-05-2021,213.6900024,209.9199982,211.8600006,210,310400,208.6009521
